"unigram","bigram","freq"
"born","just",22
"cant","wait",22
"choice","make",22
"come","anyway",22
"couple","days",22
"day","come",22
"even","getting",22
"feel","bad",22
"first","half",22
"football","fully",22
"force","push",22
"fully","myelinated",22
"get","rid",22
"give","u",22
"go","night",22
"good","idea",22
"good","person",22
"im","pretty",22
"just","signed",22
"just","tweet",22
"katy","perry",22
"know","talking",22
"late","s",22
"like","big",22
"long","set",22
"make","smile",22
"much","fun",22
"new","world",22
"nice","rt",22
"night","night",22
"north","south",22
"now","available",22
"now","like",22
"older","generation",22
"pass","unnoticed",22
"paying","college",22
"people","good",22
"please","luv",22
"please","rt",22
"pretty","good",22
"razor","sharp",22
"sad","news",22
"santa","fe",22
"set","just",22
"star","weekend",22
"sure","long",22
"take","picture",22
"talking","new",22
"thanks","mention",22
"though","dont",22
"two","bands",22
"u","will",22
"wait","minute",22
"welcome","rt",22
"well","made",22
"will","also",22
"will","find",22
"york","city",22
"aint","even",21
"almost","like",21
"bebe","kids",21
"best","luck",21
"black","cherry",21
"blog","posts",21
"box","office",21
"can","make",21
"can","u",21
"chicks","claiming",21
"claiming","kids",21
"cool","things",21
"dads","hoodwinked",21
"doe","c",21
"feel","sorry",21
"following","back",21
"friends","make",21
"going","get",21
"harris","bebe",21
"hash","tag",21
"help","us",21
"hoodwinked","chicks",21
"just","kuz",21
"just","remember",21
"kids","theres",21
"know","need",21
"kuz","people",21
"life","without",21
"lifetime","commitment",21
"luv","u",21
"mad","just",21
"maybe","next",21
"movie","recommendation",21
"need","know",21
"now","little",21
"one","goal",21
"one","much",21
"paola","doe",21
"ratchet","truth",21
"really","showing",21
"recommendation","robin",21
"road","trip",21
"robin","harris",21
"say","say",21
"say","u",21
"scared","shit",21
"scrambled","eggs",21
"see","get",21
"set","aside",21
"social","media",21
"someone","like",21
"something","tell",21
"sorry","dads",21
"tell","paola",21
"text","back",21
"thanks","rts",21
"theres","smdh",21
"time","way",21
"truth","hurts",21
"trying","figure",21
"twitter","accounts",21
"two","men",21
"two","years",21
"u","ratchet",21
"us","today",21
"week","now",21
"well","like",21
"will","able",21
"woman","black",21
"wow","mad",21
"a","agreed",20
"accounts","pinterest",20
"actual","thing",20
"agreed","programs",20
"always","made",20
"always","wanted",20
"another","fun",20
"athletes","manifestation",20
"bases","loaded",20
"became","one",20
"big","man",20
"black","white",20
"blasted","think",20
"brush","ya",20
"build","new",20
"buildings","speak",20
"buy","just",20
"can","buy",20
"can","find",20
"cold","balls",20
"crotch","actual",20
"day","great",20
"everyone","safe",20
"excited","see",20
"falling","love",20
"feeling","like",20
"five","minutes",20
"florida","insanely",20
"friends","steal",20
"fucking","volume",20
"full","circle",20
"fun","homecoming",20
"fun","watch",20
"get","excited",20
"get","get",20
"get","idea",20
"give","us",20
"gone","box",20
"good","seeing",20
"great","week",20
"guy","friends",20
"halloween","weekend",20
"headphones","messed",20
"hmm","well",20
"homecoming","halloween",20
"hope","well",20
"identity","theft",20
"insanely","hot",20
"ipod","take",20
"isnt","quite",20
"jayz","brush",20
"jordanyoung","sextesting",20
"just","blasted",20
"leave","alone",20
"like","jayz",20
"like","savage",20
"long","since",20
"lot","things",20
"loved","one",20
"man","still",20
"manifestation","notion",20
"many","us",20
"may","even",20
"messed","scared",20
"music","awards",20
"needless","say",20
"never","seen",20
"new","week",20
"next","door",20
"night","got",20
"night","light",20
"notion","privacy",20
"now","can",20
"office","ordered",20
"olympic","athletes",20
"omg","fucking",20
"ordered","tickets",20
"outside","pants",20
"person","like",20
"pictures","crotch",20
"privacy","privilege",20
"privilege","whiteness",20
"pro","public",20
"programs","pro",20
"public","speaking",20
"quickly","became",20
"reading","book",20
"really","enjoyed",20
"rebecca","jordanyoung",20
"rt","apparently",20
"safe","fun",20
"salt","pepper",20
"san","francisco",20
"savage","early",20
"season","starting",20
