"unigram","bigram","trigram","freq"
"kustom","thrills","shop",18
"lame","one","lol",18
"legacy","rich","honesty",18
"like","connect","today",18
"like","sitting","around",18
"likewise","thanks","like",18
"love","get","way",18
"lovely","katherine","mae",18
"making","new","friends",18
"mitigated","intersections","significant",18
"money","bitches","proceeds",18
"monopoly","money","bitches",18
"month","concertcontest","season",18
"need","tshirts","printed",18
"new","friends","chatting",18
"night","hubs","includes",18
"octane","gallery","kustom",18
"party","going","apartment",18
"peas","head","call",18
"planing","going","safetec",18
"planing","going","vegas",18
"printed","great","way",18
"proceeds","make","rain",18
"promote","band","business",18
"pu","bef","th",18
"ready","summer","love",18
"really","watch","wellstill",18
"respected","even","coaches",18
"rich","honesty","william",18
"rock","peas","head",18
"rules","game","score",18
"safetec","lexington","ky",18
"shop","support","lovely",18
"significant","impacts","mitigated",18
"sitting","around","bored",18
"situation","man","honor",18
"someone","like","sitting",18
"start","making","new",18
"stop","really","watch",18
"store","cvs","walmart",18
"stretch","month","concertcontest",18
"summer","love","get",18
"support","lovely","katherine",18
"sxsw","attendees","let",18
"sy","great","home",18
"tell","going","horrible",18
"tell","truth","situation",18
"thanks","ditching","book",18
"thanks","like","connect",18
"thrills","shop","support",18
"time","around","far",18
"time","lame","one",18
"today","day","come",18
"truth","situation","man",18
"trying","figure","rules",18
"tshirts","printed","great",18
"u","ready","summer",18
"us","know","need",18
"vegas","time","around",18
"walmart","anime","win",18
"wanting","good","time",18
"watch","wellstill","amazing",18
"way","promote","band",18
"woww","thanks","ditching",18
"yeah","goals","guess",18
"accuse","thinking","s",17
"ago","orwell","year",17
"ago","yet","im",17
"amazing","night","fantastic",17
"ammonium","hydroxide","nitrites",17
"ammonium","hydroxide","water",17
"amount","energy","electrons",17
"anthem","game","tonight",17
"ask","drama","teens",17
"available","door","miss",17
"babe","wait","till",17
"bacteria","live","note",17
"bacteria","use","small",17
"badgers","fans","kohl",17
"basketball","plays","pm",17
"berlin","million","years",17
"birthday","kitty","libras",17
"blessed","wife","love",17
"blessing","daughter","just",17
"brady","bunch","just",17
"bunch","just","remember",17
"can","read","u",17
"center","friday","mens",17
"chica","welcome","rt",17
"clap","yur","hands",17
"clayton","stoner","twoyear",17
"contract","extension","ap",17
"convert","ammonium","hydroxide",17
"cool","niece","really",17
"create","ammonium","hydroxide",17
"dan","fornari","marine",17
"daughter","just","hit",17
"deal","launches","today",17
"defenseman","clayton","stoner",17
"door","miss","going",17
"drama","teens","go",17
"earth","dan","fornari",17
"efficient","enough","bacteria",17
"electrons","efficient","enough",17
"electrons","two","hydrogen",17
"energy","electrons","efficient",17
"energy","electrons","two",17
"enough","bacteria","live",17
"every","ions","used",17
"family","brady","bunch",17
"fans","kohl","center",17
"favorites","good","luck",17
"first","time","berlin",17
"fornari","marine","geologist",17
"forward","seeing","badgers",17
"friday","mens","basketball",17
"fucked","ask","drama",17
"game","w","u",17
"generators","wre","offline",17
"get","one","next",17
"give","u","homework",17
"go","give","u",17
"going","amazing","night",17
"gonna","sexy","kid",17
"good","luck","new",17
"gotten","picture","get",17
"gourmet","magazine","one",17
"haha","maybe","next",17
"happy","birthday","kitty",17
"hate","things","microsuede",17
"hello","boy","dd",17
"hit","blessed","wife",17
"homework","hours","ago",17
"homework","thing","pretty",17
"hours","ago","yet",17
"hydrogen","ions","create",17
"hydrogen","ions","energy",17
"hydrogen","ions","produced",17
"hydroxide","nitrites","hydrogen",17
"hydroxide","water","convert",17
"im","still","computer",17
"increases","acidity","water",17
"ions","create","ammonium",17
"ions","energy","electrons",17
"ions","produced","every",17
"ions","used","increases",17
"joans","work","puts",17
"just","hit","blessed",17
"just","projecting","insanity",17
"know","clap","yur",17
"know","snowing","obsess",17
"kohl","center","friday",17
"last","name","family",17
"live","note","hydrogen",17
"look","randi","generators",17
"looking","forward","seeing",17
"love","babe","wait",17
"love","people","prove",17
"love","s","recap",17
"loved","watching","game",17
"luck","new","show",17
